,한글 이름,영문 이름,가격,종류,나라,도시,아로마,음식매칭,전문가 평점,소비자 평점,알코올,당도,산도,바디,타닌,메이커스 노트,테이스팅 노트
248,"떼땅져, 녹턴 시티 라이트 '루미너스'","Taittinger, Nocturne Citi Light 'Luminous'",319000.0,스파클링,프랑스,샹빠뉴,"배, 복숭아, 살구, 건포도, 꽃, 건포도, 시트러스","디저트, 치즈, 과일",-,4,12~13 %,2,3,3,1,"반짝이는 연한 노란색. 우아하고 섬세한 기포가 끊이지 않고 올라오고 신선함과 함께 흰 꽃의 향긋함, 잘 익은 과일의 향이 느껴지며 복숭아, 시트러스, 건살구의 뉘앙스가 옅보이는 와인이다. 부드럽고 원숙한 미감과 신선함이 처음 느껴지며 건포도와 과일시럽의 미감이 지배적. 부드럽고 길게 이어지는 기분 좋은 여운을 보여주는 샴페인이다.

35개의 각기 다른 크뤼의 포도밭에서 생산된 포도를 블랜딩 하였다. 최소 4년 동안 효모에 의한 숙성을 거친 후, 1 리터당 17g의 사탕수수의 당분을 첨가.“도사쥬”라고 불리는 첨가물은 샴페인의 완성된 품질, 원숙함과 잘 결합되며 차별화된 무게감과 매끄러움을 가져다 준다.",
249,"샴페인 무세 피스, 로 듀진 블랑 드 누아","Champagne Mousse Fils, L'or d'Eugene Blanc de Noirs",150000.0,스파클링,프랑스,발레 드 라 마른,"배, 브리오슈, 크림","치즈, 해산물, 샐러드",-,4,,1,5,3,1,"밝은 노란색을 띠고 레드 애플, 구운 배의 농익은 과실, 브리오슈, 크림의 아로마가 느껴진다. 입 안에서는 힘 있고 단단한 버블감이 강렬한 첫 인상을 선사하며, 미디움 바디감에 발란스 좋은 산미, 과실의 아로마, 버블의 지속성이 조화를 이루는 와인이다.

Dosage : 3.5g/liter, Ageing : 13개월",
250,"엘 꼬또, 크리안자","El Coto, Crianza",38000.0,,스페인,리오하,"자두, 건포도, 자두, 체리, 딸기, 바닐라, 건포도","치즈, 송아지, 햄, 피자, 파스타",-,3.8,13 %,2,3,4,3,"밝은 루비색을 띠고, 딸기, 체리 아로마가 피어오르고 자두, 건포도, 검붉은 과실향과 민트, 유칼립투스와 같은 스파이시한 아로마가 특징이다. 오크 숙성에서 우러나오는 은은한 바닐라 향과 복잡한 과일향을 주는 아로마가 인상적인 밸런스를 이룬다. 붉은 과실들이 입안에 부드럽고 길게 지속되며적당한 산미와 미디움 풀바디로 마시기 편한 와인이다. American Oak Barrel 1년 3개월, 병입 숙성 6개월 하였다.",
251,"쿠바제, 아케시 로사토","Cuvage, Acquesi Rosato",55000.0,스파클링,이탈리아,피에몬테,"배, 꽃, 장미",전체요리,-,4,11~12 %,1,3,3,1,"핑크빛을 띠고 장미꽃의 아로마가 느껴진다. 입 안에서는 로제의 우아하고 상큼하며 깔끔한 맛에 기품있는 버블이 고급스러운 와인이다.

피에몬테 지역에서 재배된 바르베라 70%, 돌체토 30%로 만든 스파클링 와인으로 'Metodo Martinotti' 방식(1차 발효 후, 포도의 자연적 특성을 유지하며 낮은 온도에서 재발효시키는 방식)을 사용하였다.",
252,크리스마스 아스티,Christmas Asti,30000.0,스파클링,이탈리아,아스티,"시트러스, 레몬, 라임","과일, 샐러드",-,4,4~6 %,4,2,2,1,"볏짚색을 띠고 청포도 뿐 아니라 레몬, 라임과 같은 시트러스 계열의 과일의 아로마가 느껴진다. 입 안에서는 청량한 기포와 과하지 않은 달콤함이 조화로워 많은 이들이 부담 없이 즐길 수 있는 와인이다.",
253,트라마 브린디시 리제르바,Trama Brindisi Riserva,60000.0,,이탈리아,에밀리아 로마냐,"체리, 딸기, 바닐라",,-,4,13~14 %,1,3,3,3,"강우량이 풍부한 따뜻한 기후의 지역으로부터 생산되는 레드와인이다. 짙은 루비색을 띠며 잘 익은 블랙 체리, 야생 딸기의 신선한 아로마와 함께 부드러운 바닐라 향이 전해진다. 거칠지 않은 타닌감과 적절한 산도, 그리고 긴 여운이 상당히 매력적인 와인이다.

Trama(트라마)는 옷감을 만드는 실(올)을 의미하며 이는 13세기 Marco Polo(마르코 폴로)가 실크로드를 통해 비단 등 동양의 물품 풍습 등을 베니스로 전해온 것을 연상하여 레이블을 디자인한 와인이다.",
254,"데로쉐, 헤리티지 리저브 진판델","DeLoach, Heritage Reserve Zinfandel",25000.0,,미국,캘리포니아,"배, 살구, 체리, 감초, 아니스",,-,4,,1,3,4,3,"보라빛을 띠고 체리와 살구 그리고 아니스 향이 지배적이다. 입 안에서는 라즈 베리와 블랙 베리 과즙이 가득한 풍미를 주며, 스파이시 함과 감초맛이 맴돌고 적절한 바디감은 산도와 밸런스가 맞아 만족스러운 와인이다.",
255,"떼땅져, 레폴리","Taittinger, Les Folies de la Marquetterie",268000.0,스파클링,프랑스,샹파뉴,"복숭아, 살구, 바닐라, 토스트, 브리오슈, 잼",,-,4.5,,1,5,3,1,"밝은 황금색을 띠고 복숭아, 살구 잼, 브리오슈, 토스트, 바닐라의 아로마가 느껴진다. 입 안에서는 복숭아의 집중적인 아로마에 부드럽고 섬세한 기포, 뛰어난 균형감과 구조감 속에 우아함과 고급스러운 피니쉬가 돋보이는 와인이다.",
256,"샤또 데레즐라, 푸르민트 드라이","Chateau Dereszla, Furmint Dry",40000.0,,헝가리,토카이-헤갈라야,"치즈, 가금류",,-,4,12~13 %,1,4,2,1,옅은 노란색에 테두리는 연녹색을 띠고 우아한 오렌지 꽃의 아로마가 느껴진다. 입 안에서는 실크같은 부드러움과 우아한 귀부인을 연상케 하는 고상함이 균형을 이루며 달콤함과 신선한 산도를 가진 와인이다.,
257,젠틀 카우,Gentle Cow,45000.0,,스페인,까리레나,"자두, 체리, 블랙베리, 바닐라, 토스트","갈비찜, 불고기, 스테이크, 살치살, 항정살",-,4,,1,3,3,3,"진한루비색을 띠고 체리, 자두, 블랙베리, 바닐라, 토스트의 아로마가 느껴진다. 입 안에서는 풍성한 붉은 과실의 풍미가 은은한 토스트 풍미와 함께 가득 퍼지며 기분 좋은 산미와 부드러운 타닌이 느껴지는 와인이다.",
258,"조셉 칼, 카베르네 소비뇽","Joseph Carr, Cabernet Sauvignon",120000.0,,미국,나파 밸리,"배, 자두, 블랙베리, 커피, 오크",스테이크,87점,4,14~15 %,1,3,4,5,"깊은 퍼플 컬러를 띠고 붉은 과실 향과 검은 과실 향, 풀내음 아로마가 글라스를 가득 채우며 진하면서도 섬세한 오크 향이 느껴진다. 입 안에서는 말린 자두, 블랙베리, 커피 향, 검은 과일 향과 풍미가 지배적인 와인이다. 50% 새 프렌치 오크통에서 20개월간 숙성했다.",
259,"카스텔 다쥐, 100% 오렌지","Castell D'age, 100% Orange",90000.0,,스페인,페네데스,"한식, 해산물, 푸아그라, 파스타",,-,4,14~15 %,1,4,2,1,"스페인 카탈루니아 지역의 대표 청포도 중 하나인 가르나차 블랑카 (그르나슈 블랑)으로 만든 진한 주황빛을 띄는 오렌지 와인으로, 특유의 오렌지 껍질 Orange peel, 졸인 사과 Cooked apple, 말린 살구 Dried apricot, 오렌지 마말레이드 Orange marmalade, 자몽 Grapefruit의 향이 매력적이다. 또 약간의 파인애플 Pineapple, 효모 Yeast, 갓 구운 빵 Freshly baked bread, 꿀 Honey의 향도 함께 느껴진다. 제법 단단한 구조감이 매력적인 와인으로 약간의 당도와 잘 어울리는 산도는 부드러운 목넘김과 지속적으로 느껴지는 감칠맛을 만들어낸다.

카스텔 다쥐에서 생산한 내추럴 오렌지 와인 Natural orange wine이다. 철저한 비오디나미 농법 Biodynamic farming으로 세심하게 키워낸 포도 중에서 선별된 최고급의 포도만을 사용해 아주 섬세하게 양조해낸 와인으로, 스페인에서도 가장 섬세한 와인을 생산하는 와이너리 중 하나로 평가받는 카스텔 다쥐 와이너리만의 철학과 매력을 잘 보여주는 와인이다.

*양조 과정 WINEMAKING
- 스페인 페네데스에 위치한 ‘칸 푸야데스 Can Pujades’ 포도밭 (석회 토양 Limestone / 해발 300m / 연 강수량 449mm)에서 비오디나미 방식 Biodynamic farming으로 재배.
- 9월 중순, 100% 손 수확.
- 8일간 저온에서 껍질 접촉 Cold maceration
- 자연 효모 Indigenous yeasts만을 사용해 스테인리스 탱크에서 14일간 발효.
- 이산화황, 여과, 청징 없이 병입 Bottled without SO2, fining and filtering.",
260,"파이로스, 싱글빈야드 블록넘버포 말벡","Pyros, Single Vineyard Block No.4 Malbec",120000.0,,아르헨티나,산 후안,"치즈, 스테이크",,-,4,14~15 %,1,3,4,4,"보라빛을 띠고 강렬하고 짙은 보라색, 검은 과실과 허브 아로마가 느껴지고 입 안에서는 신선한 삼나무향, 우아한 복합미와 정제되고 기분 좋은 질감, 깊고 인상적인 피니쉬가 느껴지는 와인이다.",
261,"델리카토, 1924 버번 배럴 에이지드 까베르네 소비뇽","Delicato, 1924 Bourbon Barrel Aged Cabernet Sauvignon",62000.0,,미국,로디,"배, 무화과, 블랙베리, 바닐라, 토스트","육류요리, 안심",-,4.2,15 %,1,3,5,4,"짙은 루비색을 띠고, 블랙베리, 코코아, 라즈베리, 카라멜의 풍부한 향과 농축미 가득한 무화과 잼 , 토스트한 향이 느껴진다. 버번 배럴 숙성이 가져다 주는 바닐라, 말린 허브 그리고 카라멜의 풍미를 지닌 독특한 맛을 가진 와인이다. 버번 배럴에서 최소 4개월간 숙성하였다.

처음 양조 시에는 한번 사용한 버번 위스키 배럴을 사용하였으나 알코올 도수가 28도까지 올라 시판을 하지 못하였다. 이후 다년간의 실험을 통해 알코올 도수 15도와 위스키의 매혹적인 향이 입혀진 버번 배럴 에이지드 와인을 탄생시켰다.",
262,"도멘 생그라, 엘 몰리","Domaine Singla, El Moli",75000.0,,프랑스,꼬뜨 드 루씨옹,"체리, 블랙체리, 감초, 모카, 가죽",치즈,-,4,15~16 %,1,3,4,3,"진하고 풍부한 블랙 커런트, 블랙체리 향과 감초, 모카, 트러플, 가죽 등의 향이 시간이 지남에 따라 끊임없이 피어 오르는 등 아로마와 부케 모두 복합적으로 잘 어우러지는 와인이다.

입 안에서 둥글게 채워지는 탄닌과 섬세하면서도 강렬하게 느껴지는 풀-바디 스타일의 와인이다. 검붉은 과실 향과 감초가 뛰어난 밀도와 질감, 깊고 진한 피니쉬를 느낄 수 있으며 우아하면서 절제된 탄닌을 보여준다.",
263,"몬테스, 폴리 시라","Montes, Folly Syrah",220000.0,,칠레,콜차구아 밸리,"블루베리, 블랙커런트, 토스트, 초콜릿",,-,4,15~16 %,1,3,5,5,"심오하며 윤택한 루비 빛깔을 띠고 비범함을 느끼게 하는 완숙한 검은 과일과 훌륭한 시라에서 찾을 수 있는 복잡미묘한 향이 속속들이 전개된다. 중후장대하게 입안을 가득 채우되, 벨벳과 같은 질감 위에 대단히 긴 여운을 보여주는 와인이다.",
264,"샤또 롱보, 뀌베 삐에르 드 라 파브레귀","Chateau Rombeau, Cuvee Pierre de la Fabregue",65000.0,,프랑스,꼬뜨 드 루씨옹,"호두, 배, 감초, 오크",,-,4,,1,3,4,3,"진한 검붉은 색의 이 와인은 까시스, 감초젤리, 설탕에 조린 호두 등의 향을 뿜어낸다. 묵직한 무게감과 부드럽게 혀를 감싸는 듯한 촘촘한 타닌이 입안에서 어우러진다. 화려함과 우아함의 절묘한 밸런스를 갖춘 와인으로 향에서 느낀 풍미가 입에서도 잘 전달된다. 5년 이상 충분히 숙성할 수 있는 힘이 있다.

석회토와 둥근 자갈이 섞인 점토 토양, 올드바인에서 수확하며 오랜 시간의 침용 후 각각 새 프렌치 오크 배럴에서 12개월 동안 숙성한 후 블랜딩한다.",
265,"아그리콜라 푸니카, 바루아","Agricola Punica, Barrua",140000.0,,이탈리아,사르데냐,"자두, 자두, 체리, 블랙베리, 감초, 허브, 세이지, 로즈마리",,-,4,15 %,1,3,4,4,"짙고 깊은 루비색. 잘 익은 체리향과 야생 허브향, 감초향이 잘 어우러진다. 마셨을 때는 블랙베리, 푸룬, 자두케이크, 블랙 올리브와 같은 풍미와 함께 세이지, 로즈마리와 같은 사르데냐 와인 특유의 풍미를 강렬하게 느낄 수 있으며 섬세한 타닌과 더불어 완벽한 균형미를 보여주는 와인이다.",
266,코스타 메디아나 아마로네 델라 발폴리첼라,Costa Mediana Amarone dell Valpolicella,47980.0,,이탈리아,베네토,"치즈, 스테이크, 스튜",,-,3.6,15~16 %,1,3,4,4,깊은 검붉은 색을 띠고 전형적인 붉은 과일의 아로마가 느껴진다. 입 안에서는 벨벳같은 부드러움과 풀바디의 박력있는 풍미가 일품이며 스파이시한 여운이 더욱 매력적인 아마로네 와인이다.,
267,"11th 아워 셀러즈, 화이트 진판델","11th Hour Cellars, White Zinfandel",30000.0,,미국,로디,"복숭아, 잼, 시트러스","한식, 떡볶이, 디저트, 치즈",-,3.8,11 %,3,3,2,1,"투명한 로제 핑크빛을 띠고, 잘 익은 복숭아, 시트러스, 잼의 아로마가 느껴진다. 적절한 산도감과 약간의 당도가 느껴지며 깔끔한 피니쉬가 인상적인 와인이다.",
268,"도멘 라파주, 꼬떼 플로랄","Domaine Lafage, Cote Floral",21000.0,,프랑스,랑그독-루씨옹,"복숭아, 꽃, 라임, 미네랄",샐러드,-,4,13 %,1,3,3,1,"맑고 밝은 연두빛을 띠며 라임류, 복숭아 등의 신선한 과실향과 와인이름과 같이 달콤한 꽃향이 매력적으로 올라온다. 기분좋은 크리스피한 산미와 신선한 과실의 풍미가 입안을 가득 메우며, 목넘김 후 미네랄 향의 여운이 길게 남는 와인이다.",
269,"마르케시 디 바롤로, 랑게 브릭 아멜","Marchesi di Barolo, Langhe Bric Amel",78000.0,,이탈리아,랑게,"아몬드, 복숭아, 살구, 꽃, 아카시아, 꿀","송아지, 생선회, 참치",-,4,12~13 %,1,4,3,1,"랑게지역의 방언인 Bric과 꿀이라는 뜻의 Amel이 합쳐진 이름의 와인이다.

노란 빛을 띠는 옅은 짚색을 가지고 있으며, 복숭아와 살구, 아몬드, 아카시아와 산사나무의 향이 조화를 이룬다. 풍부하고 신선한, 향기로운 맛을 가지고 있다. 편한 와인이지만 우아함은 지속적으로 느껴지는 와인이다.

각 포도 품종별로 완전히 익은 날에 따로 수확한다. 수확된 포도는 빠르게 지하실로 옮겨져서 꼭지를 제거하고 부드럽게 으스러진다. 이후 부드럽게 압착하여 나오는 와인을 저온에서 강철탱크에 발효한다. 이후 각 포도 품종이 그 특성을 가장 잘 표현할 수 있도록 스테인리스 통에 저장한다. 마치 다른 꽃들이 꿀에게 신선함과 복잡성을 주듯 포도의 품종이 조화롭게 섞여서 섬세한 와인을 완성한다.",
270,"보니 둔, 뱅 그리 드 시거","Bonny Doon, Vin Gris de Cigare",38000.0,,미국,센트럴 코스트,"체리, 블랙체리, 토스트, 꽃","치즈, 브리, 모짜렐라, 연어, 샐러드",-,3.8,13.5 %,1,4,2,1,"옅은 연어색을 띠고 코에서는 로즈 힙, 린든 플라워, 블랙 커런트, 살짝 구운 토스트 향이 은은하게 퍼진다. 입 안에서는 상큼한 산미가 기분 좋게 느껴지고 적당한 무게감에 블랙체리, 꽃향이 느껴지는 와인이다.",
271,"빌라 다 빈치, 스트레다","Villa Da Vinci, Streda",70000.0,,이탈리아,토스카나,"복숭아, 꽃",,-,4,,1,4,3,1,"빈치 마을의 가장 유명한 화이트 품종인 베르멘티노를 통해 만든 와인으로, 베르멘티노 단일 포도밭에서 만들어진 '크뤼'급 와인이다.

크리스탈과 같은 투명한 색을 가지고 있으며, 복숭아와 꽃향을 풍부하고 부드럽게 느낄 수 있다. 과실의 향을 충분히 보여주기 위해 스테인레스를 제외한 어떤 다른 과정도 거치지 않은 와인이다.",
272,"제라르 베르트랑, 꼬뜨 로즈 로제","Gerard Bertrand, Cote des Roses Rose",33000.0,,프랑스,꼬또 뒤 랑그독,"살구, 체리, 꽃, 장미","치즈, 연어, 참치, 파스타, 샐러드",-,3.8,13 %,1,3,3,1,"은은한 살구색을 띠고, 새콤한 체리와 풍부한 붉은 과실, 은은한 꽃 향기가 어우러진 향긋한 아로마가 피어 오른다. 부드러운 타닌과 기분 좋은 산도가 복합적인 풍미와 어우러져 우아하고 싱그러운 미감을 선사하며, 은은하게 지속되는 여운이 느껴지는 와인이다. 줄기가 제거된 포도를 8°C로 차갑게하여 1차로만 추출한 고품질의 주스만을 사용하여 만들었다.

'꼬뜨 데 로즈'라는 이름이 말해주듯이, 핑크색 장미빛의 아름다운 로제 와인을 담은 병에는, 금박으로그려진 장미와 장미 모양으로 조각된 병 바닥 부분이 미각적뿐아니라 시각적인 만족감을 더해준다. 싱그러운 과실향과 은은한 장미향이, 실제로 장미꽃을 입안에 머금는듯한 착각이 들게 한다.",
273,"제라르 베르트랑, 꼬뜨 로즈 블랑","Gerard Bertrand, Cote des Roses Blanc",33000.0,,프랑스,랑그독-루씨옹,"바닐라, 장미, 시트러스, 오렌지, 망고",아페리티프,-,4,13 %,2,4,3,1,"옅은 골드 빛을 띠고, 망고, 오렌지 블라썸, 시트러스와 말린 과실향, 은은한 백장미의 복합적인 아로마를 선보인다. 은은한 바닐라와 계피 등의 스파이스 노트, 깔끔한 미네랄리티가 어우러져 긴 여운은 남기는 와인이다.",
274,"카르페 디엠, 팜므 파탈","Carpe diem, Femme Fatale",48000.0,,몰도바,,"배, 사과, 복숭아, 꽃, 아카시아, 레몬",,-,3.1,,1,4,2,1,"미디움 레몬 컬러로 사과, 배, 아카시아 꽃 향이 화사하다. 서양 사과, 숭도 복숭아, 플로럴한 향이 입에서도 잘 전달되며, 프레쉬한 산도와 중간 이상의 여운이 매끄럽게 이어진다. 몰도바 대표 로컬 화이트 품종인 페테아스카 알바와 페테아스카 레글라를 5:5 블렌딩하였다.

카르페 디엠은 모든 레인지의 라벨에 각 와인의 개성과 스토리가 담긴 스틸 컷으로 라벨을 장식한다. 물론 카르페 디엠이라는 이름에 맞게 각 스토리 컨셉에 맞는 가장 흥분되고 즐거운 순간의 표정이 담기게 된다. 의미를 담은 특별한 날을 위한 와인으로 추천할 만 하다.","
dn486sy
2018.10.18
2017 빈티지
3.0
너무 가벼움
jully0084
2018.10.18
2017 빈티지
3.5
바닐라향이 확 올라오면서 풋사과 청포도 향이 돌기도 하고 버터리한 피니쉬,,,
독특한 향에 눈이 살짝커짐,,
데일리로 주말 파티에 준비해도 괜찮을 듯 한 화이트 와인
PETRUS
2018.10.18
2017 빈티지
3.5
해산물 요리나 오일 베이스의 파스타와 어울릴듯한 편한 화이트 와인.
phn3516
2018.10.18
2017 빈티지
2.5
silentman
2018.10.18
2017 빈티지
3.5
김윤석
2018.10.18
2017 빈티지
3.5
꽃사슴
2018.10.18
2017 빈티지
4.0
라이트하고 기분좋은 감귤향 피니쉬~^^ 아주 가볍게 한잔
빵세
2018.10.18
2017 빈티지
3.5
순둥이
2018.10.18
2017 빈티지
2.0
이종재/JJ
2018.10.18
2017 빈티지
4.0
식전주 별4개
장우성
2018.10.18
2017 빈티지
3.0
정지웅
2018.10.18
2017 빈티지
2.0
한만호
2018.10.18
2017 빈티지
3.5
아직 영빈
더보기"
275,"카판넬레, 로사토","Capannelle, Rosato",75000.0,,이탈리아,토스카나,"배, 복숭아, 딸기, 꽃, 장미, 허브, 민트",,-,4,12~13 %,1,4,3,1,"와인잔에 깔끔하게 보여지는 핑크색상과 은은하게 보여지는 골드빛 색상. 복숭아, 딸기, 배의 신선한 과실향과 장미꽃을 연상시키는 지배적인 꽃향기와 은은하게 풍기는 민트의 부케와 함께 Earthy, 버섯류, 허브의 부케 향이 느껴진다. 약간의 달콤함과 함께 깔끔한 미감을 보여주는 제품이다.",
276,"빠소 씨에이로, 알바리뇨","Pazo Cilleiro, Albarino",45000.0,,스페인,갈리시아,"시트러스, 치즈",치즈,-,3.8,13~14 %,1,4,3,1,"금색빛 옐로우를 띠고 시트러스류의 과실향과 흰색 과육의 과실향이 풍부하게 느껴지며, 약간의 흰꽃의 아로마의 향이 특징적이다. 입 안에서는 엘레강스함이 느껴지며 둥글면서 신선함이 입안 가득 채워지는 와인이다.",
277,"샴페인 보아랑 쥐멜, 트라디시옹 브뤼","Champagne Voirin-Jumel, Tradition Brut",130000.0,스파클링,프랑스,꼬뜨 데 블랑,"아몬드, 헤이즐넛",,-,4,,1,5,3,1,"트라디시옹은 프루티한 샴페인이다. 축하 자리나 칵테일 파티 등 어떤 상황에서도 잘 어울린다. 헤이즐넛과 신선한 아몬드, 파이 등의 향이 인상적이다. 입에서는 굉장히 크리미하고 균형이 잘 잡혀있고 산도가 톡톡 튀는 샴페인이다. 2~3개 빈티지를 블렌딩한다.",
278,"에쉔호프 홀져, 더 오렌지","Eschenhof Holzer, The Orange",100000.0,,오스트리아,,"아몬드, 살구, 홍차, 오렌지",,-,3.8,,1,5,2,1,"껍질 접촉 발효를 통해 투명한 오렌지 색을 띠고 오렌지 와인에서 익숙한 차 내음이 난다. 입 안에서는 쟈스민차, 홍차와 같은 향들이 산화숙성을 통해서 나는 아몬드, 절인 살구 같은 느낌들과 어우러져 복잡미를 형성하는 와인이다. 상온보다 살짝 낮은 온도로 마시는 것을 추천한다.",
279,제프 까렐 아뷔드네,A Vue de Nez by Jeff Carrel,32900.0,,프랑스,랑그독 루씨용,허브,,-,3.5,,1,4,3,3,"진한 루비 빛을 띠고 풍부한 과실향과 바이올렛 , 스위트한 스파이스 아로마의 조화가 향기롭다. 입 안에서는 부드러운 타닌과 감칠맛이 돋보이며 검붉은 베리, 야생허브의 향으로 긴 여운을 남기는 와인이다.",
280,"카사 로호, 에네미고 미오","Casa Rojo, Enemigo Mio",58000.0,,스페인,후미야,"체리, 딸기, 꽃, 장미, 초콜릿, 오크",,-,3.5,,1,3,4,3,"밝은 체리색을 띠고 잔 가장자리에는 보랏빛이 감돈다. 처음에는 체리, 딸기와 같은 붉은색 과일의 향과 꽃 향기가 섬세하면서도 우아하게 어우러지며 장미 꽃잎과 발사믹 아로마도 함께 느껴진다. 마셨을 때는 마치 술이 들어가 있는 리쿼 초콜릿을 먹는 듯한 느낌이 연상된다. 프렌치 오크에서 짧게 숙성하여 지중해에서 건강하게 자란 포도의 신선한 풍미를 최대한 살린 것이 특징이다.

'에네미고 미오'는 스페인어로 '우리의 적(Enemy)'이라는 뜻으로 여름밤마다 포도밭의 달콤한 포도를 훔쳐 먹으러 오는 얄미운 멧돼지를 와인 레이블에 담았다.",
281,"칸티네 체치, 포르타니나 라 루나","Cantine Ceci, Fortanina La Luna",59000.0,스파클링,이탈리아,에밀리아 로마냐,치즈,,-,4,6.5~7.5 %,2,3,3,2,"루비 레드색을 띠며 달콤함과 기분 좋은 신선함의 완벽한 밸런스를 느낄 수 있는 프리잔테 와인으로 피니쉬가 길다. 에밀리아의 토착품종인 포르타나는 에밀리아의 퀴진에서 자주 볼 수 있으며, 거부할 수 없는 푸르티한 아로마가 인상적인 와인이다.

포르타나 포도 품종의 아로마와 향을 그대로 유지하기 위하여 부드러운 압착방법을 사용한다.",
282,"파인 릿지, 나파밸리 샤르도네","Pine Ridge, Napa Valley Chardonnay",130000.0,,미국,나파 밸리,"사과, 백도, 육두구, 토스트, 레몬",,-,4,,1,3,3,1,"레몬, 신선한 사과, 망고, 백도 그리고 토스트, 레몬 커드, 백도, 크래커와 육두구의 아로마가 느껴진다. 입 안에서는 둥글면서 매끄럽고 점성이 있어 신선함을 더해주고 화이트 와인의 입체감을 더해주는 풍성한 산미로 무게 또한 좋으며 레몬의 마무리로 입안을 즐겁게 만드는 와인이다.",
283,"포르투 발도우로, 화이트 포트","Porto Valdouro, White Port",30000.0,,포르투갈,도우루,오크,"디저트, 과일, 샐러드",-,4,19~20 %,5,3,5,1,"옅은 볏짚색을 띠고 잘 익은 열대 과일, 풍부한 과일의 아로마가 느껴진다. 입 안에서는 약간의 오크 숙성으로 우아하면서 기분 좋은 산미, 잘 익은 과일 맛과 견과류 풍미가 매력적인 와인이다.",
284,그라치아나 샤도네이,Gracianna Chardonnay,100000.0,,미국,러시안 리버 밸리,"배, 오크, 파인애플","치즈, 치킨, 비프",-,3.7,14.5 %,1,4,4,1,"연한 황금색을 띠고 잘 익은 배와 파인애플의 아로마가 느껴지며 드라이한 끝 맛이 입 안을 가득 채워놓은 와인이다.

프랑스산 오크통에서 11개월간 숙성하였다.",
285,"까사 델 토끼, 코트 롤란 마터 까르미네르","Casas del Toqui, Court Rollan Mater Carmenere",76000.0,,칠레,카차포알 밸리,"자두, 자두, 체리, 바닐라, 오렌지",,-,4,14~15 %,1,2,4,4,"블랙 자두, 오렌지 껍질, 체리, 향신료 향이 피어오르고 다크 초콜릿과 바닐라 향이 뒤이어 서서히 퍼진다. 타닌은 구조감이 느껴지는 가운데 부드럽고 풍만하며 균형잡힌 산미는 전반적인 밸런스를 완성시킨다. 14개월 오크 숙성한다.",
286,라 피우 벨 로제,La Piu Belle Rose,58000.0,,칠레,미야후밸리,"살구, 꽃, 라벤더, 시트러스",연어,-,4,,1,3,1,1,"잘 익은 레드 베리와 살구, 패션 프루츠 시트러스 등의 상큼한 과실향과 함께 라벤더와 바이올렛 등의 아로마가 더해진다. 입 안에서는 풍성한 꽃향기와 둥글고 우아한 타닌감이 균형감 있으면서 드라이한 피니쉬를 보여주는 로제 와인이다.",
287,"마르께스 데 리스칼, 차콜리","Marques de Riscal, Txakolina",75000.0,,스페인,차콜리 데 구에타리아 헤타리코 차콜리나,"배, 사과, 꽃, 허브, 시트러스, 자몽",,-,3.8,12~13 %,1,4,2,1,"연두빛이 감도는 연한 노란색을 띠고 사과, 배 등 흰 과일향과 자몽의 시트러스 과일향, 좋은 허브향과 꽃향이 느껴진다. 입 안에서는 매우 신선하면서 쨍한 산도감이 경쾌하고 리(효모 앙금) 숙성을 통한 복합미가 있으며, 긴 여운이 오래 남는 와인이다.",
288,"보글, 에센셜 레드","Bogle, Essential Red",102000.0,,미국,클라크스버그,"배, 체리, 감초, 바닐라, 오크","초콜렛, 치즈, 블루치즈",-,4,13~14 %,1,4,4,4,"진판델, 쉬라, 까베르네 쇼비뇽, 쁘띠쉬라가 블렌딩된 와인으로 4품종 모두 올드바인의 열매만을 사용하는 특별한 와인이다. 잘 익은 과일의 풍미가 기분 좋은 첫인상을 선사하며, 보이젠베리와 체리의 달콤하고 진한 향기가 특히 지배적이다. 오크 숙성에서 비롯된 바닐라, 감초, 담배 등의 향은 길고 인상적인 피니쉬를 선사한다.

[와인메이커]
*Eric Aafedt (Director of Winemaking)
1994년부터 보글에서 전통적인 방식과 최신기술과의 균형있게 사용하는 걸로 정평이 나 있는 최고의 와인메이커
*Dana Stemmler (Winemaker)
UC Davis를 졸업, 2006년 합류, 보글의 일관된 품질과 명성을 배가시킨 실력파 와인메이커",
289,"브리스데일, 제너레이션 쉬라즈","Bleasdale, Generations Shiraz",97000.0,,호주,랭혼 크릭,"쇠고기, 스테이크, 송아지, 양고기",,-,4,14~15 %,1,2,4,4,"깊고 진한 보라색을 띠고 플럼 잼, 블랙베리, 라즈베리, 무화과 등의 검은 과일향, 후추, 피망 등의 스파이시, 오크 숙성이 주는 감미로운 감초, 바닐라 향이 느껴진다. 입 안에서는 부드러운 타닌의 구조감과 잘 익은 자두와 검은 과실, 감초와 신선한 스파이시 등이 복합적으로 느껴지며 오크에서 주는 복합적인 부케가 더욱 풍성하게 하며 완벽한 밸런스를 주는 와인이다. 풍부하고 깊은 맛과 향을 맛보기 위해 6~8년간 셀러에서 보관 가능한 와인이다.",
290,아니무스 비뉴 베르데,Animus Vinho Verde,43000.0,,포르투갈,비뉴 베르데,,,-,4,10~11 %,1,3,2,1,알코올은 낮고 과일향이 풍부하면서 탄산이 살짝 느껴지는 상큼한 화이트 와인이다. 그린와인으로 불리는 포르투갈 대표 화이트 와인으로 세계 최고 가성비 화이트 와인으로 인정 받기 시작했다.,
